Code,_StartTime,_EndTime,StartTime,EndTime,Type,Change
AB10,Oct 2007,Dec 2018,"£225,000","£245,000",3 Bedrooms,+9%
AB10,Oct 2007,Dec 2018,"£73,500","£95,000",1 Bedroom,+29%
AB10,Oct 2007,Dec 2018,"£139,995","£139,475",All,-0%
AB10,Oct 2007,Dec 2018,"£149,000","£159,000",2 Bedrooms,+7%
AB10,Oct 2007,Dec 2018,-,"£535,000",5+ Bedrooms,-
AB10,Oct 2007,Dec 2018,"£185,000","£328,000",4 Bedrooms,+77%
AB11,Oct 2007,Dec 2018,"£140,000","£219,000",3 Bedrooms,+56%
AB11,Oct 2007,Dec 2018,"£75,000","£79,995",1 Bedroom,+7%
AB11,Oct 2007,Dec 2018,"£113,000","£123,000",All,+9%
AB11,Oct 2007,Dec 2018,"£152,500","£145,000",2 Bedrooms,-5%
AB11,Oct 2007,Dec 2018,-,"£450,000",5+ Bedrooms,-
AB11,Oct 2007,Dec 2018,"£380,000","£343,500",4 Bedrooms,-10%
AB12,Oct 2007,Dec 2018,"£165,000","£199,000",3 Bedrooms,+21%
AB12,Oct 2007,Dec 2018,-,"£109,000",1 Bedroom,-
AB12,Oct 2007,Dec 2018,"£147,000","£170,000",All,+16%
AB12,Oct 2007,Dec 2018,"£130,000","£138,000",2 Bedrooms,+6%
AB12,Oct 2007,Dec 2018,"£275,000","£409,000",5+ Bedrooms,+49%
AB12,Oct 2007,Dec 2018,"£240,000","£280,000",4 Bedrooms,+17%
AB13,Oct 2007,Dec 2018,"£267,000","£299,000",3 Bedrooms,+12%
AB13,Oct 2007,Dec 2018,-,"£180,000",1 Bedroom,-
AB13,Oct 2007,Dec 2018,"£285,000","£299,000",All,+5%
AB13,Oct 2007,Dec 2018,"£305,000","£190,000",2 Bedrooms,-38%
AB13,Oct 2007,Dec 2018,-,"£415,000",5+ Bedrooms,-
AB13,Oct 2007,Dec 2018,-,"£332,500",4 Bedrooms,-
AB14,Oct 2007,Dec 2018,"£255,000","£291,500",3 Bedrooms,+14%
AB14,Oct 2007,Dec 2018,-,"£96,250",1 Bedroom,-
AB14,Oct 2007,Dec 2018,"£137,000","£170,000",All,+24%
AB14,Oct 2007,Dec 2018,"£132,500","£129,500",2 Bedrooms,-2%
AB14,Oct 2007,Dec 2018,-,"£495,000",5+ Bedrooms,-
AB14,Oct 2007,Dec 2018,-,"£360,000",4 Bedrooms,-
AB15,Oct 2007,Dec 2018,"£320,000","£277,000",3 Bedrooms,-13%
AB15,Oct 2007,Dec 2018,"£295,000","£126,000",1 Bedroom,-57%
AB15,Oct 2007,Dec 2018,"£277,000","£261,950",All,-5%
AB15,Oct 2007,Dec 2018,"£235,000","£198,250",2 Bedrooms,-16%
AB15,Oct 2007,Dec 2018,"£395,000","£580,000",5+ Bedrooms,+47%
AB15,Oct 2007,Dec 2018,"£410,000","£400,000",4 Bedrooms,-2%
AB21,Oct 2007,Dec 2018,"£185,000","£202,500",3 Bedrooms,+9%
AB21,Oct 2007,Dec 2018,-,"£90,000",1 Bedroom,-
AB21,Oct 2007,Dec 2018,"£160,950","£162,500",All,+1%
AB21,Oct 2007,Dec 2018,"£149,000","£136,500",2 Bedrooms,-8%
AB21,Oct 2007,Dec 2018,"£850,000","£425,000",5+ Bedrooms,-50%
AB21,Oct 2007,Dec 2018,"£329,995","£309,000",4 Bedrooms,-6%
AB16,Oct 2007,Dec 2018,"£115,000","£150,000",3 Bedrooms,+30%
AB16,Oct 2007,Dec 2018,-,"£76,000",1 Bedroom,-
AB16,Oct 2007,Dec 2018,"£109,000","£105,000",All,-4%
AB16,Oct 2007,Dec 2018,"£99,500","£100,000",2 Bedrooms,+1%
AB16,Oct 2007,Dec 2018,-,-,5+ Bedrooms,-
AB16,Oct 2007,Dec 2018,-,"£210,000",4 Bedrooms,-
AB22,Oct 2007,Dec 2018,"£205,000","£215,000",3 Bedrooms,+5%
AB22,Oct 2007,Dec 2018,"£69,000","£114,000",1 Bedroom,+65%
AB22,Oct 2007,Dec 2018,"£155,000","£158,000",All,+2%
AB22,Oct 2007,Dec 2018,"£140,000","£153,000",2 Bedrooms,+9%
AB22,Oct 2007,Dec 2018,-,"£415,000",5+ Bedrooms,-
AB22,Oct 2007,Dec 2018,"£248,000","£295,000",4 Bedrooms,+19%
AB23,Oct 2007,Dec 2018,"£225,000","£209,500",3 Bedrooms,-7%
AB23,Oct 2007,Dec 2018,-,"£90,000",1 Bedroom,-
AB23,Oct 2007,Dec 2018,"£195,000","£186,500",All,-4%
AB23,Oct 2007,Dec 2018,"£132,500","£150,000",2 Bedrooms,+13%
AB23,Oct 2007,Dec 2018,"£310,000","£437,500",5+ Bedrooms,+41%
AB23,Oct 2007,Dec 2018,"£295,000","£302,500",4 Bedrooms,+3%
AB24,Oct 2007,Dec 2018,"£220,000","£198,000",3 Bedrooms,-10%
AB24,Oct 2007,Dec 2018,"£68,450","£84,000",1 Bedroom,+23%
AB24,Oct 2007,Dec 2018,"£105,000","£120,000",All,+14%
AB24,Oct 2007,Dec 2018,"£130,000","£134,998",2 Bedrooms,+4%
AB24,Oct 2007,Dec 2018,-,"£345,000",5+ Bedrooms,-
AB24,Oct 2007,Dec 2018,"£220,000","£280,000",4 Bedrooms,+27%
AB25,Oct 2007,Dec 2018,"£285,000","£260,000",3 Bedrooms,-9%
AB25,Oct 2007,Dec 2018,"£65,500","£90,000",1 Bedroom,+37%
AB25,Oct 2007,Dec 2018,"£120,000","£120,000",All,0%
AB25,Oct 2007,Dec 2018,"£130,000","£135,000",2 Bedrooms,+4%
AB25,Oct 2007,Dec 2018,"£410,000","£335,000",5+ Bedrooms,-18%
AB25,Oct 2007,Dec 2018,"£350,000","£310,000",4 Bedrooms,-11%
AB30,Oct 2007,Dec 2018,"£215,000","£209,000",3 Bedrooms,-3%
AB30,Oct 2007,Dec 2018,"£85,000","£88,500",1 Bedroom,+4%
AB30,Oct 2007,Dec 2018,"£225,000","£234,500",All,+4%
AB30,Oct 2007,Dec 2018,"£210,975","£141,250",2 Bedrooms,-33%
AB30,Oct 2007,Dec 2018,"£270,000","£321,500",5+ Bedrooms,+19%
AB30,Oct 2007,Dec 2018,"£249,000","£295,000",4 Bedrooms,+18%
AB31,Oct 2007,Dec 2018,"£317,500","£249,000",3 Bedrooms,-22%
AB31,Oct 2007,Dec 2018,"£70,000","£99,000",1 Bedroom,+41%
