Average ToM,Code,Median rent,Average rent,Type,properties
372 days,AB10,£899 pcm,£978 pcm,Three bedrooms,28
285 days,AB10,"£1,450 pcm","£1,453 pcm",Four bedrooms,13
332 days,AB10,£650 pcm,£658 pcm,Two bedrooms,126
154 days,AB10,"£1,751 pcm","£1,717 pcm",Five bedrooms,3
399 days,AB10,£465 pcm,£468 pcm,One bedroom,105
252 days,AB11,£802 pcm,£800 pcm,Three bedrooms,17
57 days,AB11,"£1,450 pcm","£1,462 pcm",Four bedrooms,8
299 days,AB11,£624 pcm,£635 pcm,Two bedrooms,129
508 days,AB11,"£2,050 pcm","£2,050 pcm",Five bedrooms,2
250 days,AB11,£451 pcm,£454 pcm,One bedroom,90
320 days,AB12,£823 pcm,£861 pcm,Three bedrooms,9
292 days,AB12,"£1,051 pcm","£1,242 pcm",Four bedrooms,6
146 days,AB12,£676 pcm,£690 pcm,Two bedrooms,15
310 days,AB12,"£2,197 pcm","£2,064 pcm",Five bedrooms,5
341 days,AB12,£524 pcm,£530 pcm,One bedroom,5
-,AB13,-,-,Three bedrooms,0
405 days,AB13,"£1,526 pcm","£1,533 pcm",Four bedrooms,6
-,AB13,-,-,Two bedrooms,0
54 days,AB13,"£2,524 pcm","£2,524 pcm",Five bedrooms,2
-,AB13,-,-,One bedroom,0
-,AB14,-,-,Three bedrooms,0
-,AB14,-,-,Four bedrooms,0
327 days,AB14,£594 pcm,£614 pcm,Two bedrooms,5
337 days,AB14,"£2,300 pcm","£2,300 pcm",Five bedrooms,2
673 days,AB14,£476 pcm,£476 pcm,One bedroom,2
222 days,AB15,"£1,023 pcm","£1,086 pcm",Three bedrooms,32
366 days,AB15,"£1,500 pcm","£1,645 pcm",Four bedrooms,38
386 days,AB15,£750 pcm,£771 pcm,Two bedrooms,69
242 days,AB15,"£2,247 pcm","£2,254 pcm",Five bedrooms,10
371 days,AB15,£624 pcm,£633 pcm,One bedroom,9
224 days,AB16,£672 pcm,£664 pcm,Three bedrooms,6
-,AB16,-,-,Four bedrooms,0
262 days,AB16,£574 pcm,£594 pcm,Two bedrooms,20
-,AB16,-,-,Five bedrooms,0
521 days,AB16,£425 pcm,£432 pcm,One bedroom,6
155 days,AB21,£800 pcm,£829 pcm,Three bedrooms,11
346 days,AB21,"£1,001 pcm","£1,059 pcm",Four bedrooms,7
190 days,AB21,£631 pcm,£670 pcm,Two bedrooms,28
-,AB21,-,-,Five bedrooms,0
176 days,AB21,£675 pcm,£651 pcm,One bedroom,28
242 days,AB22,£800 pcm,£929 pcm,Three bedrooms,5
218 days,AB22,"£1,950 pcm","£1,950 pcm",Four bedrooms,1
278 days,AB22,£650 pcm,£652 pcm,Two bedrooms,10
-,AB22,-,-,Five bedrooms,0
214 days,AB22,£496 pcm,£536 pcm,One bedroom,14
"1,040 days",AB23,£852 pcm,£852 pcm,Three bedrooms,2
459 days,AB23,"£1,124 pcm","£1,124 pcm",Four bedrooms,2
401 days,AB23,£600 pcm,£588 pcm,Two bedrooms,6
-,AB23,-,-,Five bedrooms,0
64 days,AB23,£475 pcm,£475 pcm,One bedroom,2
326 days,AB24,£900 pcm,£885 pcm,Three bedrooms,53
191 days,AB24,£999 pcm,"£1,058 pcm",Four bedrooms,16
297 days,AB24,£598 pcm,£622 pcm,Two bedrooms,173
392 days,AB24,"£1,800 pcm","£1,799 pcm",Five bedrooms,7
280 days,AB24,£451 pcm,£468 pcm,One bedroom,80
232 days,AB25,£859 pcm,£925 pcm,Three bedrooms,20
180 days,AB25,£998 pcm,£849 pcm,Four bedrooms,4
317 days,AB25,£598 pcm,£622 pcm,Two bedrooms,127
107 days,AB25,"£2,475 pcm","£2,475 pcm",Five bedrooms,2
328 days,AB25,£451 pcm,£457 pcm,One bedroom,92
134 days,AB30,£817 pcm,£817 pcm,Three bedrooms,2
-,AB30,-,-,Four bedrooms,0
41 days,AB30,£450 pcm,£450 pcm,Two bedrooms,2
-,AB30,-,-,Five bedrooms,0
-,AB30,-,-,One bedroom,0
68 days,AB31,£776 pcm,£787 pcm,Three bedrooms,3
-,AB31,-,-,Four bedrooms,0
58 days,AB31,£750 pcm,£770 pcm,Two bedrooms,5
12 days,AB31,"£1,699 pcm","£1,699 pcm",Five bedrooms,1
62 days,AB31,£451 pcm,£451 pcm,One bedroom,1
240 days,AB32,£997 pcm,£973 pcm,Three bedrooms,3
251 days,AB32,"£1,475 pcm","£1,498 pcm",Four bedrooms,4
312 days,AB32,£693 pcm,£675 pcm,Two bedrooms,9
488 days,AB32,"£1,395 pcm","£1,448 pcm",Five bedrooms,3
19 days,AB32,£500 pcm,£500 pcm,One bedroom,1
626 days,AB33,£520 pcm,£520 pcm,Three bedrooms,2
741 days,AB33,£901 pcm,£901 pcm,Four bedrooms,1
28 days,AB33,£676 pcm,£676 pcm,Two bedrooms,2
-,AB33,-,-,Five bedrooms,0
71 days,AB33,£477 pcm,£477 pcm,One bedroom,1
-,AB35,-,-,Three bedrooms,0
-,AB35,-,-,Four bedrooms,0
-,AB35,-,-,Two bedrooms,0
-,AB35,-,-,Five bedrooms,0
-,AB35,-,-,One bedroom,0
-,AB34,-,-,Three bedrooms,0
-,AB34,-,-,Four bedrooms,0
-,AB34,-,-,Two bedrooms,0
-,AB34,-,-,Five bedrooms,0
343 days,AB34,£525 pcm,£524 pcm,One bedroom,3
-,AB36,-,-,Three bedrooms,0
-,AB36,-,-,Four bedrooms,0
-,AB36,-,-,Two bedrooms,0
-,AB36,-,-,Five bedrooms,0
-,AB36,-,-,One bedroom,0
-,AB37,-,-,Three bedrooms,0
-,AB37,-,-,Four bedrooms,0
-,AB37,-,-,Two bedrooms,0
-,AB37,-,-,Five bedrooms,0
-,AB37,-,-,One bedroom,0
441 days,AB38,£587 pcm,£587 pcm,Three bedrooms,2
-,AB38,-,-,Four bedrooms,0
-,AB38,-,-,Two bedrooms,0
-,AB38,-,-,Five bedrooms,0
-,AB38,-,-,One bedroom,0
195 days,AB39,£938 pcm,£938 pcm,Three bedrooms,2
723 days,AB39,"£1,248 pcm","£1,248 pcm",Four bedrooms,1
75 days,AB39,£637 pcm,£632 pcm,Two bedrooms,8
187 days,AB39,"£1,499 pcm","£1,718 pcm",Five bedrooms,4
251 days,AB39,"£1,200 pcm","£1,200 pcm",One bedroom,1
81 days,AB41,£723 pcm,£749 pcm,Three bedrooms,6
18 days,AB41,"£1,101 pcm","£1,101 pcm",Four bedrooms,2
133 days,AB41,£563 pcm,£589 pcm,Two bedrooms,20
-,AB41,-,-,Five bedrooms,0
127 days,AB41,£650 pcm,£650 pcm,One bedroom,1
75 days,AB42,£650 pcm,£637 pcm,Three bedrooms,4
213 days,AB42,£850 pcm,£967 pcm,Four bedrooms,3
46 days,AB42,£596 pcm,£592 pcm,Two bedrooms,4
26 days,AB42,"£1,200 pcm","£1,200 pcm",Five bedrooms,1
29 days,AB42,£375 pcm,£375 pcm,One bedroom,1
-,AB43,-,-,Three bedrooms,0
-,AB43,-,-,Four bedrooms,0
52 days,AB43,£625 pcm,£575 pcm,Two bedrooms,3
-,AB43,-,-,Five bedrooms,0
-,AB43,-,-,One bedroom,0
-,AB44,-,-,Three bedrooms,0
-,AB44,-,-,Four bedrooms,0
-,AB44,-,-,Two bedrooms,0
-,AB44,-,-,Five bedrooms,0
-,AB44,-,-,One bedroom,0
-,AB45,£867 pcm,£867 pcm,Three bedrooms,1
-,AB45,-,-,Four bedrooms,0
-,AB45,-,-,Two bedrooms,0
-,AB45,-,-,Five bedrooms,0
-,AB45,-,-,One bedroom,0
107 days,AB51,£837 pcm,£843 pcm,Three bedrooms,10
93 days,AB51,"£1,025 pcm","£1,056 pcm",Four bedrooms,4
60 days,AB51,£710 pcm,£699 pcm,Two bedrooms,6
5 days,AB51,"£1,200 pcm","£1,200 pcm",Five bedrooms,1
187 days,AB51,£494 pcm,£462 pcm,One bedroom,3
165 days,AB52,£813 pcm,£813 pcm,Three bedrooms,2
-,AB52,-,-,Four bedrooms,0
481 days,AB52,£626 pcm,£626 pcm,Two bedrooms,2
-,AB52,-,-,Five bedrooms,0
-,AB52,-,-,One bedroom,0
-,AB53,-,-,Three bedrooms,0
933 days,AB53,£724 pcm,£724 pcm,Four bedrooms,1
-,AB53,-,-,Two bedrooms,0
-,AB53,-,-,Five bedrooms,0
-,AB53,-,-,One bedroom,0
-,AB54,-,-,Three bedrooms,0
-,AB54,-,-,Four bedrooms,0
5 days,AB54,£321 pcm,£321 pcm,Two bedrooms,1
-,AB54,-,-,Five bedrooms,0
-,AB54,-,-,One bedroom,0
-,AB55,-,-,Three bedrooms,0
-,AB55,-,-,Four bedrooms,0
"1,147 days",AB55,£477 pcm,£477 pcm,Two bedrooms,1
-,AB55,-,-,Five bedrooms,0
-,AB55,-,-,One bedroom,0
20 days,AB56,£598 pcm,£598 pcm,Three bedrooms,1
12 days,AB56,£550 pcm,£550 pcm,Four bedrooms,1
-,AB56,-,-,Two bedrooms,0
-,AB56,-,-,Five bedrooms,0
-,AB56,-,-,One bedroom,0
-,AB99,-,-,Three bedrooms,0
-,AB99,-,-,Four bedrooms,0
-,AB99,-,-,Two bedrooms,0
-,AB99,-,-,Five bedrooms,0
-,AB99,-,-,One bedroom,0
249 days,AL1,"£1,695 pcm","£1,625 pcm",Three bedrooms,12
