Code,_StartTime,_EndTime,StartTime,EndTime,Type,Change
AB10,Oct 2007,Dec 2018,"£130,000","£119,500",Flat,-8%
AB10,Oct 2007,Dec 2018,"£365,000","£385,000",Detached,+5%
AB10,Oct 2007,Dec 2018,"£139,995","£139,475",All,-0%
AB10,Oct 2007,Dec 2018,"£215,000","£300,000",Terraced,+40%
AB10,Oct 2007,Dec 2018,"£207,500","£240,000",Semi,+16%
AB11,Oct 2007,Dec 2018,"£95,000","£109,000",Flat,+15%
AB11,Oct 2007,Dec 2018,"£192,000","£387,500",Detached,+102%
AB11,Oct 2007,Dec 2018,"£113,000","£123,000",All,+9%
AB11,Oct 2007,Dec 2018,"£145,000","£380,000",Terraced,+162%
AB11,Oct 2007,Dec 2018,"£185,000","£275,000",Semi,+49%
AB12,Oct 2007,Dec 2018,"£98,000","£109,000",Flat,+11%
AB12,Oct 2007,Dec 2018,"£254,500","£290,000",Detached,+14%
AB12,Oct 2007,Dec 2018,"£147,000","£170,000",All,+16%
AB12,Oct 2007,Dec 2018,"£120,000","£158,750",Terraced,+32%
AB12,Oct 2007,Dec 2018,"£137,500","£188,498",Semi,+37%
AB13,Oct 2007,Dec 2018,"£249,000","£230,000",Flat,-8%
AB13,Oct 2007,Dec 2018,"£305,000","£350,000",Detached,+15%
AB13,Oct 2007,Dec 2018,"£285,000","£299,000",All,+5%
AB13,Oct 2007,Dec 2018,-,"£299,000",Terraced,-
AB13,Oct 2007,Dec 2018,"£212,000","£257,500",Semi,+21%
AB14,Oct 2007,Dec 2018,"£125,000","£120,000",Flat,-4%
AB14,Oct 2007,Dec 2018,"£310,000","£445,000",Detached,+44%
AB14,Oct 2007,Dec 2018,"£137,000","£170,000",All,+24%
AB14,Oct 2007,Dec 2018,"£120,000","£209,000",Terraced,+74%
AB14,Oct 2007,Dec 2018,"£192,500","£272,500",Semi,+42%
AB15,Oct 2007,Dec 2018,"£255,000","£195,000",Flat,-24%
AB15,Oct 2007,Dec 2018,"£355,000","£430,000",Detached,+21%
AB15,Oct 2007,Dec 2018,"£277,000","£261,950",All,-5%
AB15,Oct 2007,Dec 2018,"£267,500","£270,000",Terraced,+1%
AB15,Oct 2007,Dec 2018,"£235,000","£255,000",Semi,+9%
AB21,Oct 2007,Dec 2018,"£107,500","£112,000",Flat,+4%
AB21,Oct 2007,Dec 2018,"£235,000","£286,000",Detached,+22%
AB21,Oct 2007,Dec 2018,"£160,950","£162,500",All,+1%
AB21,Oct 2007,Dec 2018,"£139,000","£148,000",Terraced,+6%
AB21,Oct 2007,Dec 2018,"£152,000","£175,000",Semi,+15%
AB16,Oct 2007,Dec 2018,"£83,750","£90,000",Flat,+7%
AB16,Oct 2007,Dec 2018,-,"£345,000",Detached,-
AB16,Oct 2007,Dec 2018,"£109,000","£105,000",All,-4%
AB16,Oct 2007,Dec 2018,"£109,000","£130,000",Terraced,+19%
AB16,Oct 2007,Dec 2018,"£115,000","£149,000",Semi,+30%
AB22,Oct 2007,Dec 2018,"£120,000","£123,000",Flat,+3%
AB22,Oct 2007,Dec 2018,"£246,500","£285,000",Detached,+16%
AB22,Oct 2007,Dec 2018,"£155,000","£158,000",All,+2%
AB22,Oct 2007,Dec 2018,"£122,500","£140,000",Terraced,+14%
AB22,Oct 2007,Dec 2018,"£169,000","£168,500",Semi,-0%
AB23,Oct 2007,Dec 2018,"£105,000","£114,998",Flat,+10%
AB23,Oct 2007,Dec 2018,"£244,500","£305,000",Detached,+25%
AB23,Oct 2007,Dec 2018,"£195,000","£186,500",All,-4%
AB23,Oct 2007,Dec 2018,"£170,500","£160,000",Terraced,-6%
AB23,Oct 2007,Dec 2018,"£157,500","£182,500",Semi,+16%
AB24,Oct 2007,Dec 2018,"£99,000","£110,000",Flat,+11%
AB24,Oct 2007,Dec 2018,"£255,000","£229,500",Detached,-10%
